num_of_particles,t_point_create,t_point_write,t_init,t_brute
1000,3618,18363,446,314315
1000,4316,17984,478,312909
1000,3697,14733,427,305185
1000,3919,20208,496,313336
1000,3495,17670,478,312552
10000,34351,184721,4629,28642944
10000,45132,184496,3542,27082778
10000,41177,136248,3441,27195944
10000,35143,189961,3515,27072898
10000,35961,173358,3500,27175874
0,0,0,0,0
1000,4840,17063,657,303216
1000,3788,16031,534,297215
1000,3499,16945,418,266853
1000,4919,16927,564,301172
1000,3789,19220,370,263148
10000,53339,168993,4263,22708068
10000,43345,154087,3654,22434753
20000,93023,302232,7374,89646751
20000,87638,330194,7988,88501560
2000,8360,41957,983,939133
2000,8313,33100,746,1049900
2000,8356,31560,790,966913
2000,7783,29927,848,994351
2000,9815,34603,988,969406
5000,20589,87898,3014,5617229
5000,20809,86277,1892,5600813
5000,20808,79081,2202,5619203
5000,20774,107985,2164,5594550
5000,24332,95066,2350,5994187
7500,37759,119518,3232,13071259
7500,39519,107391,2537,12892214
12500,43903,204095,6406,35509097
12500,52129,176575,4304,35350420
15000,58748,215992,5281,50510518
15000,64420,208747,5299,54618910
17500,77288,256457,6183,68055648
0,0,0,0
100,1066,2747,169,5510
1000,10643,48480,3596,331463
1000,9947,23988,1956,266911
1000,4315,17342,2582,264274
100,590,2176,120,3759
1000,10059,15997,1252,227550
1000,3751,18108,1792,297914
1000,9501,24455,1619,239578
1000,4184,15262,1317,282398
1000,4779,13479,1312,13255125
1000,6986,22598,3697,328182
1000,10835,24221,1466,228570
1000,3602,13076,1747,247477
1000,3733,15859,1857,315365
1000,4975,14299,1814,308007
1000,4784,15916,2253,247201
1000,4925,18971,1915,271920
1000,4528,17428,1871,258017
0,0,0,0
1000,12784,43473,3602,255212
1000,4834,15903,1375,304756
1000,5019,15846,1732,315464
1000,4692,16228,1689,299961
1000,4585,14634,1576,263212
1000,3727,15105,1514,253175
1000,6883,57009,1310,229554
1000,4670,33481,1889,277781
